Location,Name,ID,,Health,,Phys Def | Dmg Neg,,Strike Def | Dmg Neg,,Slash Def | Dmg Neg,,Pierce Def | Dmg Neg,,Magic Def | Dmg Neg,,Fire Def | Dmg Neg,,Ltng Def | Dmg Neg,,Holy Def | Dmg Neg,,,Poison Resist,Rot Resist,Bleed Resist,Frost Resist,Sleep Resist,Madness Resist,Death Resist,,Bleed Dmg Taken,Frost Dmg Taken,Sleep Dmg Taken,Madness Dmg Taken,,Poise,,Part 1 Dmg Mult,Part 2 Dmg Mult,Part 3 Dmg Mult,Part 4 Dmg Mult,Part 5 Dmg Mult,Part 6 Dmg Mult,Part 7 Dmg Mult,Part 8 Dmg Mult,"""Weak Parts"" Dmg Mult"
Academy Crystal Cave,Crystalian (Staff) [Boss] [Cracked],33502920b,,1595,,107,10,107,10,107,35,107,35,107,40,107,40,107,40,107,40,,530,530,Immune,530,Immune,Immune,Immune,,1,0.7,1,1,,70,,1,1,1,1,1,1,1,1,1.5
Academy Crystal Cave,Rat,40800020,,367,,107,-10,107,-10,107,-40,107,-10,107,-20,107,-40,107,-20,107,-20,,324,324,176,235,176,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy Crystal Cave,Raya Lucaria Scholar,37020020,,414,,107,-10,107,0,107,-10,107,-10,107,40,107,20,107,20,107,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy Crystal Cave,Raya Lucaria Scholar,37023020,,605,,107,-10,107,0,107,-10,107,-10,107,40,107,20,107,20,107,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,???,502010024,,1939,,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,???,533160124,,8291,,106,0,106,0,106,0,106,0,106,0,106,0,106,-25,106,0,,104,104,104,104,1046,0,999,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Abductor Virgin (Scythe),44700024,,3213,,107,10,107,0,107,10,107,10,107,0,107,20,107,-20,107,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,2
Academy of Raya Lucaria,Abductor Virgin (Wheel),44701024,,3213,,107,10,107,0,107,10,107,10,107,0,107,20,107,-20,107,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,2
Academy of Raya Lucaria,Ash Teardrop Scarab,41912024,,348,,107,10,107,10,107,35,107,35,107,40,107,40,107,40,107,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Avionette,38601024,,392,,107,0,107,-10,107,10,107,10,107,0,107,-20,107,0,107,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1
Academy of Raya Lucaria,Bloodhound Knight,42909024,,992,,107,10,107,10,107,10,107,0,107,0,107,0,107,-20,107,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Crab (Clean),22750024,,63,,107,10,107,-40,107,10,107,10,107,0,107,0,107,0,107,-40,,Immune,176,235,132,132,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Crab (Golden Tuffs),22751024,,589,,107,10,107,-40,107,10,107,10,107,40,107,0,107,0,107,-40,,Immune,176,235,132,132,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Demi-Human Shaman,41109024,,192,,107,-10,107,-10,107,-40,107,-10,107,-20,107,-20,107,-20,107,-20,,176,176,176,176,176,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Dragon,45008024,,3713,,107,35,107,35,107,35,107,10,107,40,107,40,107,40,107,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,120,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Giant Crab (Clean),22740024,,808,,107,35,107,0,107,35,107,35,107,20,107,20,107,20,107,-40,,Immune,324,324,176,176,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Grey Wolf,40708024,,176,,107,-10,107,-10,107,-40,107,-10,107,-20,107,-40,107,-20,107,-20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Juvenile Scholar,20400024,,204,,109,-10,109,0,109,-10,109,-10,109,40,109,0,109,0,109,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Juvenile Scholar,20403024,,204,,109,-10,109,0,109,-10,109,-10,109,40,109,0,109,0,109,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Juvenile Scholar (Candlestick),20401024,,204,,109,-10,109,0,109,-10,109,-10,109,40,109,0,109,0,109,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Juvenile Scholar (Candlestick),20404024,,204,,109,-10,109,0,109,-10,109,-10,109,40,109,0,109,0,109,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Juvenile Scholar (Tall Cap),20402024,,204,,109,-10,109,0,109,-10,109,-10,109,40,109,0,109,0,109,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Juvenile Scholar (Tall Cap),20402124,,204,,109,-10,109,0,109,-10,109,-10,109,40,109,0,109,0,109,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Juvenile Scholar (Tall Cap),20402224,,204,,109,-10,109,0,109,-10,109,-10,109,40,109,0,109,0,109,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Living Pot,44910124,,339,,107,10,107,-40,107,35,107,35,107,0,107,20,107,20,107,20,,Immune,Immune,Immune,Immune,176,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Living Pot (Large),44908124,,1017,,107,10,107,-40,107,35,107,35,107,0,107,20,107,20,107,20,,Immune,Immune,Immune,Immune,235,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Mad Pumpkin Head (Hammer),43401024,,1318,,107,0,107,10,107,-10,107,0,107,0,107,0,107,-20,107,0,,235,235,176,176,324,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,0.2
Academy of Raya Lucaria,Marionette,38500024,,405,,107,0,107,-10,107,10,107,10,107,0,107,-20,107,0,107,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1
Academy of Raya Lucaria,Marionette,38501024,,405,,107,0,107,-10,107,10,107,10,107,0,107,-20,107,0,107,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1
Academy of Raya Lucaria,Marionette,38502024,,405,,107,0,107,-10,107,10,107,10,107,0,107,-20,107,0,107,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1
Academy of Raya Lucaria,Miniature Ranni Dialogue (Unused),501060024,,1939,,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,"Moongrum, Carian Knight",523590024,,3122,,107,0,107,0,107,0,107,0,107,0,107,0,107,-25,107,0,,105,105,105,105,1056,0,999,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Noble's Page,37031024,,1318,,107,0,107,10,107,0,107,0,107,0,107,0,107,0,107,0,,176,176,235,235,235,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Onyx Lord,36000024,,1710,,107,10,107,10,107,10,107,10,107,20,107,20,107,20,107,20,,324,324,324,Immune,235,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Orb of Many Faces (Sellen),37301024,,1343,,107,10,107,10,107,35,107,80,107,80,107,40,107,40,107,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Putrid Corpse,36614024,,852,,107,-40,107,-40,107,-40,107,-40,107,40,107,-40,107,-40,107,-40,,132,132,132,132,132,Immune,Immune,,1,1,1,1,,50,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Raya Lucaria Scholar,37020024,,414,,107,-10,107,0,107,-10,107,-10,107,40,107,20,107,20,107,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Raya Lucaria Scholar,37021024,,414,,107,-10,107,0,107,-10,107,-10,107,40,107,20,107,20,107,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Raya Lucaria Scholar,37022024,,605,,107,-10,107,0,107,-10,107,-10,107,40,107,20,107,20,107,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Raya Lucaria Scholar,37023024,,605,,107,-10,107,0,107,-10,107,-10,107,40,107,20,107,20,107,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Raya Lucaria Scholar,37024024,,605,,107,-10,107,0,107,-10,107,-10,107,40,107,20,107,20,107,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Red Wolf of Radagon [Boss],31811024,,2204,,107,0,107,0,107,-10,107,0,107,40,107,20,107,20,107,20,,324,324,530,530,324,Immune,Immune,,0.7,0.7,0.7,1,,120,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon",20300124,,3493,,109,-10,109,0,109,-10,109,-10,109,80,109,20,109,20,109,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,0
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon (Phase 1) [Boss]",20300024b,,3493,,109,-10,109,0,109,-10,109,-10,109,80,109,20,109,20,109,20,,326,326,326,326,Immune,Immune,Immune,,0.7,0.7,1,1,,-1,,0,1,1,1,1,1,1,1,0
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon - Bubble (Phase 1) [Boss]",20300024,,3493,,109,100,109,100,109,100,109,100,109,100,109,100,109,100,109,100,,326,326,326,326,Immune,Immune,Immune,,0.7,0.7,1,1,,-1,,0,1,1,1,1,1,1,1,0
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon (Phase 2) [Boss]",20310024,,4097,,109,-10,109,0,109,-10,109,-10,109,80,109,40,109,40,109,40,,534,534,326,534,Immune,Immune,Immune,,0.7,0.7,1,1,,80,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Sanguine Noble,523420024,,1551,,100,0,100,0,100,0,100,0,100,0,100,0,100,-25,100,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Scarlet Putrid Corpse,36624024,,1418,,107,-40,107,-40,107,-40,107,-40,107,40,107,-40,107,-40,107,-40,,132,132,132,132,132,Immune,Immune,,1,1,1,1,,55,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Sorcerer Thops,523330024,,3122,,107,0,107,0,107,0,107,0,107,0,107,0,107,-25,107,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Sorceress Sellen,523160024,,3122,,107,0,107,0,107,0,107,0,107,0,107,0,107,-25,107,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Sorceress Sellen,523160124,,5802,,114,0,114,0,114,0,114,0,114,0,114,0,114,-25,114,0,,110,110,110,110,1104,0,999,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Sorceress Sellen,533160024,,9119,,111,0,111,0,111,0,111,0,111,0,111,0,111,-25,111,0,,108,108,108,108,1085,0,999,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Starved Dog,41610024,,367,,107,-10,107,-10,107,-40,107,-10,107,-20,107,-40,107,-20,107,-20,,176,176,176,235,176,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Troll Knight,46008024,,4307,,107,0,107,0,107,-10,107,0,107,0,107,0,107,0,107,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,2
Academy of Raya Lucaria,Wandering Noble,43000024,,192,,107,-10,107,-10,107,-10,107,-10,107,-20,107,-20,107,-20,107,0,,132,132,176,176,176,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Wandering Noble,43001024,,192,,107,-10,107,-10,107,-10,107,-10,107,-20,107,-20,107,-20,107,0,,132,132,176,176,176,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Wandering Noble,43002024,,192,,107,-10,107,-10,107,-10,107,-10,107,-20,107,-20,107,-20,107,0,,132,132,176,176,176,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Wandering Noble,43005024,,192,,107,-10,107,-10,107,-10,107,-10,107,-20,107,-20,107,-20,107,0,,132,132,176,176,176,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Wandering Noble,43006024,,192,,107,-10,107,-10,107,-10,107,-10,107,-20,107,-20,107,-20,107,0,,132,132,176,176,176,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Witch-Hunter Jerren,523120024,,5802,,114,0,114,0,114,0,114,0,114,0,114,0,114,-25,114,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Witch-Hunter Jerren,523120124,,4559,,111,0,111,0,111,0,111,0,111,0,111,0,111,-25,111,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Academy of Raya Lucaria,Witch-Hunter Jerren,533120024,,6244,,107,0,107,0,107,0,107,0,107,0,107,0,107,-25,107,0,,105,105,105,105,1056,0,999,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Ancestral Follower (Axe),33600062,,1303,,114,-10,114,0,114,-10,114,-10,114,0,114,0,114,0,114,0,,552,Immune,552,1188,552,Immune,Immune,,1,1,1,1,,40,,1,1,1,1,1,1,1,1,1.5
Ainsel River,"Astel, Naturalborn of the Void",46202060,,1193,,106,10,106,10,106,10,106,10,106,40,106,40,106,40,106,40,,526,526,526,Immune,Immune,Immune,Immune,,1,1,1,1,,20,,1.2,0.8,0.8,0.6,1,1,1,1,1.5
Ainsel River,"Astel, Naturalborn of the Void",46202062,,2520,,114,10,114,10,114,10,114,10,114,40,114,40,114,40,114,40,,552,552,552,Immune,Immune,Immune,Immune,,1,1,1,1,,20,,1.2,0.8,0.8,0.6,1,1,1,1,1.5
Ainsel River,Basilisk,41500060,,660,,106,-10,106,-10,106,-40,106,-10,106,-20,106,-20,106,-20,106,-20,,175,175,131,131,131,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Basilisk,41500062,,1394,,114,-10,114,-10,114,-40,114,-10,114,-20,114,-20,114,-20,114,-20,,184,Immune,138,138,138,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Basilisk,41500862,,1394,,114,-10,114,-10,114,-40,114,-10,114,-20,114,-20,114,-20,114,-20,,184,Immune,138,138,138,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Blaidd the Half-Wolf (Baleful Shadow),20108562,,5445,,114,10,114,10,114,10,114,0,114,40,114,0,114,20,114,20,,245,245,337,552,552,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Cerulean Teardrop Scarab,41911062,,635,,114,10,114,10,114,35,114,35,114,40,114,40,114,40,114,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Clayman,37500060,,511,,106,10,106,0,106,35,106,35,106,40,106,20,106,20,106,20,,Immune,Immune,526,526,175,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Clayman,37500062,,1080,,114,10,114,0,114,35,114,35,114,40,114,20,114,20,114,20,,Immune,Immune,552,552,184,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Clayman,37501060,,511,,106,10,106,0,106,35,106,35,106,40,106,20,106,20,106,20,,Immune,Immune,526,526,175,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Clayman,37501062,,1080,,114,10,114,0,114,35,114,35,114,40,114,20,114,20,114,20,,Immune,Immune,552,552,184,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Clayman,37502060,,511,,106,10,106,0,106,35,106,35,106,40,106,20,106,20,106,20,,Immune,Immune,526,526,175,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Clayman,37502062,,1080,,114,10,114,0,114,35,114,35,114,40,114,20,114,20,114,20,,Immune,Immune,552,552,184,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Dragonkin Soldier,46500060,,4372,,106,10,106,10,106,0,106,10,106,20,106,20,106,40,106,20,,Immune,526,526,1131,Immune,Immune,Immune,,1,1,1,1,,120,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Dragonkin Soldier,46500160,,4372,,106,10,106,10,106,0,106,10,106,20,106,20,106,40,106,20,,526,526,526,1131,Immune,Immune,Immune,,1,1,1,1,,120,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Dragonkin Soldier [Boss],46500262,,7655,,117,10,117,10,117,0,117,10,117,20,117,20,117,40,117,20,,561,Immune,561,1207,Immune,Immune,Immune,,0.7,0.7,1,1,,120,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Dragonkin Soldier of Nokstella [Boss],46500960,,4372,,106,10,106,10,106,0,106,10,106,20,106,20,106,40,106,20,,526,526,526,1131,Immune,Immune,Immune,,0.7,0.7,1,1,,120,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Giant Ant,42800060,,382,,106,10,106,10,106,35,106,10,106,0,106,-20,106,0,106,0,,526,526,321,175,131,Immune,Immune,,1,1,1,1,,40,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Giant Ant,42800062,,808,,114,10,114,10,114,35,114,10,114,0,114,-20,114,0,114,0,,552,552,337,184,138,Immune,Immune,,1,1,1,1,,40,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Giant Ant,42800160,,382,,106,10,106,10,106,35,106,10,106,0,106,-20,106,0,106,0,,526,526,321,175,131,Immune,Immune,,1,1,1,1,,40,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Giant Ant,42800360,,382,,106,10,106,10,106,35,106,10,106,0,106,-20,106,0,106,0,,526,526,321,175,131,Immune,Immune,,1,1,1,1,,40,,1,1,1,1,1,1,1,1,10
Ainsel River,Giant Ant,42800462,,808,,114,10,114,10,114,35,114,10,114,0,114,-20,114,0,114,0,,552,552,337,184,138,Immune,Immune,,1,1,1,1,,40,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Giant Ant,42800862,,808,,114,10,114,10,114,35,114,10,114,0,114,-20,114,0,114,0,,552,552,337,184,138,Immune,Immune,,1,1,1,1,,40,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Giant Ant,42801162,,1163,,114,23.5,114,23.5,114,44.75,114,23.5,114,15,114,-2,114,15,114,15,,552,552,337,184,138,Immune,Immune,,1,1,1,1,,40,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Giant Ant (Sac),42810062,,1348,,114,10,114,10,114,10,114,10,114,0,114,0,114,-42,114,0,,184,184,184,184,184,Immune,Immune,,1,1,1,1,,65,,0.2,1,1,1,1,1,1,1,1.5
Ainsel River,Giant Miranda Sprout,44800162,,7998,,114,0,114,35,114,-40,114,0,114,0,114,40,114,40,114,40,,1188,552,552,138,245,Immune,Immune,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Hermit Merchant,32002860,,2503,,106,-10,106,0,106,-10,106,-10,106,0,106,0,106,0,106,0,,233,233,233,321,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Kindred of Rot,38100062,,1291,,114,0,114,0,114,10,114,0,114,0,114,-20,114,0,114,0,,552,Immune,184,184,184,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Miniature Ranni Dialogue (After Defeating Baleful Shadow),501060462,,7998,,114,0,114,0,114,0,114,0,114,0,114,0,114,0,114,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Miniature Ranni Dialogue (Unused),501060062,,7998,,114,0,114,0,114,0,114,0,114,0,114,0,114,0,114,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Miniature Ranni Dialogue (Unused),501060162,,7998,,114,0,114,0,114,0,114,0,114,0,114,0,114,0,114,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Miniature Ranni Dialogue (Unused),501060262,,7998,,114,0,114,0,114,0,114,0,114,0,114,0,114,0,114,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Miniature Ranni Dialogue (Unused),501060362,,7998,,114,0,114,0,114,0,114,0,114,0,114,0,114,0,114,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Miranda Sprout,44810162,,490,,114,-10,114,10,114,-40,114,-10,114,-20,114,40,114,20,114,20,,1188,552,552,138,245,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Nox Priest,33000062,,1398,,114,0,114,0,114,-10,114,0,114,20,114,0,114,0,114,-20,,337,337,337,337,245,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Ainsel River,Nox Priest,33002062,,1398,,114,0,114,0,114,-10,114,0,114,20,114,0,114,0,114,-20,,337,337,337,337,245,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
